QuestionsID,TestcaseID,Input,Output
21,1,"[19, 17, 19, 68, 68]",17
21,2,"[34, 76, 76]",34
21,3,"[46, 46, 11, 11, 59, 59, 55, 55, 35]",35
21,4,"[19, 1, 41, 41, 94, 1, 94, 80, 19]",80
21,5,"[86, 51, 51, 72, 57, 57, 78, 78, 86]",72
21,6,"[45, 90, 45, 90, 26, 38, 49, 26, 38]",49
22,1,1365,1
22,2,ab2,-1
22,3,123412312441231312413134124,1
23,1,test case,TestCase
23,2,camel case method,CamelCaseMethod
23,3,say hello,SayHello
23,4, camel case word,CamelCaseWord
23,5,.,.
24,1,abc,99
24,2,fdhfghfgh,104
24,3,slfjlJKHKJkk,115
71,1,123,1
71,2,122,0
71,3,443354,0
71,4,75942,1
71,5,6374465,0
71,6,5768901,1
71,7,53657545,0
71,8,123456,1
81,1,"1,1,1",12
81,2,"4,6,6",28
81,3,"20,10,50",68
81,4,"9,4,36",56
81,5,"324,9,36",184
81,6,"1333,93,129",308
81,7,"1022,584,112",380
81,8,"66,174,319",184
81,9,"912,276,1748",444
81,10,"65,156,60",120
82,1,"3,5",0
82,2,"3006,4090",1923016
82,3,"909,2470",1318200
82,4,"3479,3800",582400
82,5,"1426,1949",440307
82,6,"4387,4770",874589
83,1,"[3, 4, 2, 1, 7, 7, 4]","[5, 6]"
83,2,"[2, 5, 1, 5, 1]","[3, 4]"
83,3,"[3, 5, 4, 1, 6, 2]",[]
83,4,"[8, 2, 1, 3, 8, 8, 2, 2]","[4, 5, 6, 7]"
83,5,"[3, 2, 4, 7, 6, 4, 9, 8, 3, 4]","[1, 5, 10]"
72,1,,"{
key1: 1, 
key2: 2, 
akey: ""abc"", 
bkey: ""mno""
}"
72,2,,"{key1: 1, 
bkey: ""mno"",
key2: 2, 
akey: ""abc""}"
72,3,,"{
bkey: ""mno"",
akey: ""abc"",
key2: 2,
key1: 1
}"